Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 01:58:03,66.835,3171MiB / 15707MiB,39.27MB/785.00MB,0.87MB/4.03MB
2025-08-22 01:58:07,66.6667,3156MiB / 15707MiB,39.28MB/785.00MB,0.87MB/4.02MB
2025-08-22 01:58:11,66.7475,3156MiB / 15707MiB,39.28MB/785.00MB,0.87MB/4.06MB
2025-08-22 01:58:15,66.9133,3138MiB / 15707MiB,39.30MB/785.00MB,0.87MB/4.09MB
2025-08-22 01:58:19,66.6125,3138MiB / 15707MiB,39.31MB/785.00MB,0.87MB/4.04MB
2025-08-22 01:58:23,66.6083,3130MiB / 15707MiB,39.33MB/785.00MB,0.86MB/3.99MB
2025-08-22 01:58:27,66.6667,3013MiB / 15707MiB,39.34MB/785.00MB,0.86MB/4.07MB
2025-08-22 01:58:31,66.6667,3012MiB / 15707MiB,39.34MB/785.00MB,0.86MB/4.07MB
2025-08-22 01:58:35,66.6667,3008MiB / 15707MiB,39.35MB/785.00MB,0.86MB/3.98MB
2025-08-22 01:58:39,66.75,3012MiB / 15707MiB,39.36MB/785.00MB,0.86MB/4.15MB
2025-08-22 01:58:43,66.8217,3012MiB / 15707MiB,39.37MB/785.00MB,0.86MB/4.05MB
2025-08-22 01:58:47,66.6667,3033MiB / 15707MiB,39.38MB/785.00MB,0.86MB/4.04MB
2025-08-22 01:58:51,66.7492,3029MiB / 15707MiB,39.40MB/785.01MB,0.86MB/3.95MB
2025-08-22 01:58:55,66.6392,3028MiB / 15707MiB,39.41MB/785.01MB,0.85MB/4.52MB
2025-08-22 01:58:59,66.7492,3028MiB / 15707MiB,39.43MB/785.01MB,0.85MB/4.05MB
