Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 01:56:47,16.5467,3129MiB / 15707MiB,39.04MB/784.96MB,0.90MB/108.63MB
2025-08-22 01:56:51,1.07833,3155MiB / 15707MiB,39.05MB/784.96MB,0.90MB/97.08MB
2025-08-22 01:56:55,0.830833,3140MiB / 15707MiB,39.07MB/784.96MB,0.90MB/116.77MB
2025-08-22 01:56:59,0.996667,3141MiB / 15707MiB,39.08MB/784.97MB,0.90MB/103.68MB
2025-08-22 01:57:03,0.8275,3140MiB / 15707MiB,39.09MB/784.97MB,0.90MB/129.02MB
2025-08-22 01:57:07,1.00333,3139MiB / 15707MiB,39.09MB/784.97MB,0.90MB/103.06MB
2025-08-22 01:57:11,0.581667,3141MiB / 15707MiB,39.11MB/784.97MB,0.89MB/103.92MB
2025-08-22 01:57:15,1.7525,3109MiB / 15707MiB,39.12MB/784.97MB,0.89MB/104.89MB
2025-08-22 01:57:19,0.83,3110MiB / 15707MiB,39.13MB/784.97MB,0.89MB/109.30MB
2025-08-22 01:57:23,0.6625,3101MiB / 15707MiB,39.15MB/784.98MB,0.89MB/107.05MB
2025-08-22 01:57:27,0.668333,3099MiB / 15707MiB,39.16MB/784.98MB,0.89MB/120.40MB
2025-08-22 01:57:31,1.075,3099MiB / 15707MiB,39.17MB/784.98MB,0.88MB/107.50MB
2025-08-22 01:57:35,0.6675,3100MiB / 15707MiB,39.18MB/784.98MB,0.89MB/136.43MB
2025-08-22 01:57:39,0.665833,3100MiB / 15707MiB,39.19MB/784.98MB,0.88MB/108.66MB
2025-08-22 01:57:43,0.748333,3100MiB / 15707MiB,39.20MB/784.98MB,0.88MB/91.35MB
2025-08-22 01:57:47,1.15833,3143MiB / 15707MiB,39.21MB/784.98MB,0.88MB/113.68MB
2025-08-22 01:57:51,0.584167,3141MiB / 15707MiB,39.23MB/784.98MB,0.88MB/108.73MB
2025-08-22 01:57:55,1.32417,3151MiB / 15707MiB,39.25MB/785.00MB,0.88MB/109.65MB
2025-08-22 01:57:59,0.829167,3154MiB / 15707MiB,39.26MB/785.00MB,0.87MB/120.26MB
