Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 01:54:47,1.51167,3141MiB / 15707MiB,22.00MB/93.51MB,0.95MB/1.22MB
2025-08-22 01:54:51,0.8325,3127MiB / 15707MiB,23.20MB/140.69MB,0.95MB/0.76MB
2025-08-22 01:54:55,0.501667,3129MiB / 15707MiB,24.37MB/187.84MB,0.94MB/0.84MB
2025-08-22 01:54:59,0.664167,3128MiB / 15707MiB,25.53MB/235.00MB,0.94MB/1.00MB
2025-08-22 01:55:03,9.86417,3133MiB / 15707MiB,26.68MB/282.06MB,0.94MB/1.18MB
2025-08-22 01:55:07,0.414167,3135MiB / 15707MiB,27.86MB/329.09MB,0.94MB/0.93MB
2025-08-22 01:55:11,0.165,3150MiB / 15707MiB,29.00MB/376.10MB,0.94MB/1.03MB
2025-08-22 01:55:15,1.50083,3176MiB / 15707MiB,30.17MB/423.15MB,0.94MB/0.76MB
2025-08-22 01:55:19,0.0825,3171MiB / 15707MiB,31.32MB/470.08MB,0.93MB/0.76MB
2025-08-22 01:55:23,0.5,3155MiB / 15707MiB,32.48MB/517.15MB,0.93MB/0.84MB
2025-08-22 01:55:27,0.0833333,3156MiB / 15707MiB,33.63MB/564.09MB,0.93MB/0.95MB
2025-08-22 01:55:31,0,3155MiB / 15707MiB,34.76MB/611.03MB,0.93MB/0.90MB
2025-08-22 01:55:35,0,3132MiB / 15707MiB,35.87MB/658.06MB,0.93MB/0.76MB
2025-08-22 01:55:39,0.249167,3133MiB / 15707MiB,36.98MB/705.19MB,0.93MB/0.75MB
2025-08-22 01:55:43,0.916667,3131MiB / 15707MiB,38.09MB/752.41MB,0.92MB/0.85MB
