Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 01:55:47,33.665,4180MiB / 15707MiB,38.86MB/784.93MB,0.92MB/0.75MB
2025-08-22 01:55:51,33.3333,4321MiB / 15707MiB,38.87MB/784.93MB,0.92MB/0.88MB
2025-08-22 01:55:55,33.5,4183MiB / 15707MiB,38.88MB/784.93MB,0.92MB/0.91MB
2025-08-22 01:55:59,33.4167,4181MiB / 15707MiB,38.90MB/784.94MB,0.92MB/0.81MB
2025-08-22 01:56:03,33.4158,4179MiB / 15707MiB,38.91MB/784.94MB,0.92MB/0.75MB
2025-08-22 01:56:07,33.9833,4177MiB / 15707MiB,38.92MB/784.94MB,0.91MB/0.75MB
2025-08-22 01:56:11,33.4992,4177MiB / 15707MiB,38.93MB/784.94MB,0.91MB/0.85MB
2025-08-22 01:56:15,33.6658,4133MiB / 15707MiB,38.94MB/784.94MB,0.91MB/0.74MB
2025-08-22 01:56:19,33.4158,4126MiB / 15707MiB,38.95MB/784.94MB,0.91MB/0.82MB
2025-08-22 01:56:23,33.4992,4124MiB / 15707MiB,38.96MB/784.94MB,0.91MB/0.88MB
2025-08-22 01:56:27,34.3208,4122MiB / 15707MiB,38.98MB/784.94MB,0.91MB/0.84MB
2025-08-22 01:56:31,33.4983,4120MiB / 15707MiB,38.99MB/784.94MB,0.91MB/0.74MB
2025-08-22 01:56:35,33.4167,4121MiB / 15707MiB,39.00MB/784.94MB,0.90MB/0.90MB
2025-08-22 01:56:39,33.4917,4008MiB / 15707MiB,39.00MB/784.94MB,0.90MB/0.82MB
2025-08-22 01:56:43,33.5808,4009MiB / 15707MiB,39.01MB/784.95MB,0.90MB/0.96MB
