Timestamp,CPU(% per core),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 08:14:41,66.82,,56.9MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:45,66.71,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:47,66.82,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:50,66.72,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:52,66.61,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:55,66.72,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:58,66.71,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:00,66.78,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:03,66.82,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:05,66.67,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:08,66.78,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:10,66.66,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:13,66.98,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:15,66.61,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:18,66.66,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:20,66.61,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:23,66.66,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:25,66.55,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:28,66.82,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:30,66.72,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:33,67.09,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:36,66.61,,56.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:15:38,66.97,,56.39MiB , 15.34GiB,52.7MB 
