Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 08:35:00,66.607,59.77MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:03,66.608,59.6MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:06,66.707,59.42MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:08,66.609,59.42MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:11,66.664,59.28MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:13,66.610,59.28MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:16,66.612,59.28MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:18,66.545,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:21,66.663,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:23,66.654,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:26,66.335,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:28,66.766,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:31,66.820,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:33,66.554,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:36,66.655,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:38,66.763,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:41,66.720,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:44,66.664,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:46,66.609,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:49,66.859,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:51,66.444,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:54,66.711,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:56,66.720,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
2025-08-22 08:35:59,66.442,59.19MiB / 15.34GiB,70.2MB / 2.9GB,132MB / 31.6GB
