Timestamp,CPU(% per core),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 08:13:32,10.27,,85.64MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:35,4.94,,98.14MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:38,0.29,,98.68MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:40,0.26,,98.68MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:43,0.23,,98.68MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:45,0.28,,98.68MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:48,0.33,,98.68MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:50,0.33,,98.68MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:53,4.67,,83.55MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:55,2.67,,94.64MiB , 15.34GiB,52.7MB 
2025-08-22 08:13:58,0.23,,98.5MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:01,0.34,,98.5MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:03,0.26,,98.5MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:06,0.28,,98.5MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:08,3.73,,79.85MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:11,0.35,,98.36MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:13,4.76,,85.13MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:16,3.72,,95.88MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:18,0.33,,98.33MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:21,0.25,,98.33MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:24,0.38,,98.33MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:26,0.29,,98.33MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:29,0.95,,98.39MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:31,0.29,,98.33MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:34,0.38,,69.82MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:36,0.32,,69.82MiB , 15.34GiB,52.7MB 
2025-08-22 08:14:39,0.31,,69.82MiB , 15.34GiB,52.7MB 
