Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 08:33:49,11.028,85.5MiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:51,4.852,99.39MiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:54,0.167,99.22MiB / 15.34GiB,70.2MB / 2.9GB,117MB / 26.2GB
2025-08-22 08:33:57,0.348,108.1MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 26.3GB
2025-08-22 08:34:00,0.326,107.8MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 26.5GB
2025-08-22 08:34:02,0.301,107.8MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 26.7GB
2025-08-22 08:34:05,0.301,107.8MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 27GB
2025-08-22 08:34:07,0.292,107.8MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 27.3GB
2025-08-22 08:34:10,10.719,80.05MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 27.5GB
2025-08-22 08:34:13,5.261,96.51MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 27.5GB
2025-08-22 08:34:15,0.246,100.4MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 27.6GB
2025-08-22 08:34:18,0.273,100.4MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 27.8GB
2025-08-22 08:34:20,0.368,100.4MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 28GB
2025-08-22 08:34:23,0.304,100.4MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 28.2GB
2025-08-22 08:34:25,0.343,100.4MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 28.5GB
2025-08-22 08:34:28,0.387,100.4MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 28.8GB
2025-08-22 08:34:30,5.797,83.49MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 29GB
2025-08-22 08:34:33,3.179,92.86MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 29.2GB
2025-08-22 08:34:35,3.167,100.5MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 29.4GB
2025-08-22 08:34:38,0.295,100.5MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 29.6GB
2025-08-22 08:34:41,0.244,100.5MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 29.8GB
2025-08-22 08:34:43,0.322,100.5MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 30GB
2025-08-22 08:34:46,3.336,81.53MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 30.3GB
2025-08-22 08:34:48,0.223,100.6MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 30.5GB
2025-08-22 08:34:51,0.376,100.5MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 30.7GB
2025-08-22 08:34:53,0.303,72.03MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 31GB
2025-08-22 08:34:56,0.234,72.03MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 31.3GB
2025-08-22 08:34:58,0.251,72.03MiB / 15.34GiB,70.2MB / 2.9GB,131MB / 31.6GB
