Timestamp,CPU(% per core),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 06:56:57,0.39,,21.9MiB / 15.34GiB,17.8MB / 735MB,10.6MB / 14.6GB
2025-08-22 06:57:01,0.11,,21.86MiB / 15.34GiB,18.6MB / 766MB,10.6MB / 14.6GB
2025-08-22 06:57:04,0.04,,21.86MiB / 15.34GiB,19.3MB / 796MB,10.6MB / 14.6GB
2025-08-22 06:57:06,0.02,,21.86MiB / 15.34GiB,20.1MB / 827MB,10.6MB / 14.6GB
2025-08-22 06:57:09,0.10,,21.87MiB / 15.34GiB,20.8MB / 857MB,10.6MB / 14.6GB
2025-08-22 06:57:11,0.11,,21.87MiB / 15.34GiB,21.6MB / 888MB,10.6MB / 14.6GB
2025-08-22 06:57:14,0.04,,21.88MiB / 15.34GiB,22.3MB / 919MB,10.6MB / 14.6GB
2025-08-22 06:57:16,0.07,,21.88MiB / 15.34GiB,23MB / 949MB,10.6MB / 14.6GB
2025-08-22 06:57:19,0.02,,21.88MiB / 15.34GiB,23.8MB / 980MB,10.6MB / 14.6GB
2025-08-22 06:57:21,0.08,,21.88MiB / 15.34GiB,24.5MB / 1.01GB,10.6MB / 14.6GB
2025-08-22 06:57:24,0.02,,21.88MiB / 15.34GiB,25.2MB / 1.04GB,10.6MB / 14.6GB
2025-08-22 06:57:26,0.11,,21.89MiB / 15.34GiB,26MB / 1.07GB,10.6MB / 14.6GB
2025-08-22 06:57:29,0.02,,21.89MiB / 15.34GiB,26.7MB / 1.1GB,10.6MB / 14.6GB
2025-08-22 06:57:31,0.13,,21.89MiB / 15.34GiB,27.5MB / 1.13GB,10.6MB / 14.6GB
2025-08-22 06:57:34,0.13,,22.02MiB / 15.34GiB,28.2MB / 1.16GB,10.6MB / 14.6GB
2025-08-22 06:57:37,0.12,,21.89MiB / 15.34GiB,29MB / 1.19GB,10.6MB / 14.6GB
2025-08-22 06:57:39,0.12,,21.9MiB / 15.34GiB,29.7MB / 1.22GB,10.6MB / 14.6GB
2025-08-22 06:57:42,0.10,,21.9MiB / 15.34GiB,30.4MB / 1.26GB,10.6MB / 14.6GB
2025-08-22 06:57:44,0.02,,21.9MiB / 15.34GiB,31.2MB / 1.29GB,10.6MB / 14.6GB
2025-08-22 06:57:47,0.04,,21.91MiB / 15.34GiB,31.9MB / 1.32GB,10.6MB / 14.6GB
2025-08-22 06:57:49,0.08,,21.91MiB / 15.34GiB,32.7MB / 1.35GB,10.6MB / 14.6GB
2025-08-22 06:57:52,0.12,,21.91MiB / 15.34GiB,33.4MB / 1.38GB,10.6MB / 14.6GB
2025-08-22 06:57:54,0.04,,21.91MiB / 15.34GiB,34.1MB / 1.41GB,10.6MB / 14.6GB
2025-08-22 06:57:57,0.03,,21.91MiB / 15.34GiB,34.9MB / 1.44GB,10.6MB / 14.6GB
