Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 08:31:44,0.325,39.42MiB / 15.34GiB,52.9MB / 2.18GB,89.4MB / 26.2GB
2025-08-22 08:31:49,0.071,39.42MiB / 15.34GiB,53.7MB / 2.21GB,89.4MB / 26.2GB
2025-08-22 08:31:52,0.019,39.42MiB / 15.34GiB,54.4MB / 2.25GB,89.4MB / 26.2GB
2025-08-22 08:31:54,0.105,39.42MiB / 15.34GiB,55.2MB / 2.28GB,89.4MB / 26.2GB
2025-08-22 08:31:57,0.067,39.43MiB / 15.34GiB,55.9MB / 2.31GB,89.4MB / 26.2GB
2025-08-22 08:31:59,0.102,39.43MiB / 15.34GiB,56.7MB / 2.34GB,89.4MB / 26.2GB
2025-08-22 08:32:02,0.070,39.43MiB / 15.34GiB,57.4MB / 2.37GB,89.4MB / 26.2GB
2025-08-22 08:32:04,0.082,39.43MiB / 15.34GiB,58.2MB / 2.4GB,89.4MB / 26.2GB
2025-08-22 08:32:07,0.074,39.44MiB / 15.34GiB,58.9MB / 2.43GB,89.4MB / 26.2GB
2025-08-22 08:32:09,0.098,39.56MiB / 15.34GiB,59.6MB / 2.46GB,89.4MB / 26.2GB
2025-08-22 08:32:12,0.070,39.44MiB / 15.34GiB,60.4MB / 2.49GB,89.4MB / 26.2GB
2025-08-22 08:32:15,0.041,39.45MiB / 15.34GiB,61.1MB / 2.52GB,89.4MB / 26.2GB
2025-08-22 08:32:17,0.068,39.45MiB / 15.34GiB,61.9MB / 2.55GB,89.4MB / 26.2GB
2025-08-22 08:32:20,0.106,39.45MiB / 15.34GiB,62.6MB / 2.58GB,89.4MB / 26.2GB
2025-08-22 08:32:22,0.017,39.45MiB / 15.34GiB,63.4MB / 2.61GB,89.4MB / 26.2GB
2025-08-22 08:32:25,0.019,39.45MiB / 15.34GiB,64.1MB / 2.64GB,89.4MB / 26.2GB
2025-08-22 08:32:27,0.033,39.46MiB / 15.34GiB,64.8MB / 2.68GB,89.4MB / 26.2GB
2025-08-22 08:32:30,0.028,39.46MiB / 15.34GiB,65.6MB / 2.71GB,89.4MB / 26.2GB
2025-08-22 08:32:32,0.018,39.46MiB / 15.34GiB,66.3MB / 2.74GB,89.4MB / 26.2GB
2025-08-22 08:32:35,0.039,39.46MiB / 15.34GiB,67.1MB / 2.77GB,89.4MB / 26.2GB
2025-08-22 08:32:37,0.018,39.46MiB / 15.34GiB,67.8MB / 2.8GB,89.4MB / 26.2GB
2025-08-22 08:32:40,0.068,39.47MiB / 15.34GiB,68.6MB / 2.83GB,89.4MB / 26.2GB
2025-08-22 08:32:42,0.089,39.47MiB / 15.34GiB,69.3MB / 2.86GB,89.4MB / 26.2GB
2025-08-22 08:32:45,0.072,39.47MiB / 15.34GiB,70MB / 2.89GB,89.4MB / 26.2GB
