Timestamp,CPU(% per core),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 06:57:59,31.80,,1.027GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:01,27.49,,1.027GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:04,29.17,,911MiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:06,27.52,,1.064GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:09,32.73,,854MiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:12,32.07,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:14,33.44,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:17,33.30,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:19,33.39,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:22,33.44,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:24,33.47,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:27,33.47,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:29,33.33,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:32,33.25,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:34,33.30,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:37,33.28,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:39,33.28,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:42,33.41,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:44,33.44,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:47,33.42,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:50,33.41,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:52,33.36,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:55,33.47,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:58:57,33.46,,1.034GiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
