Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 08:32:47,16.946,1.044GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:32:50,15.098,926.6MiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:32:52,20.854,880.6MiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:32:55,27.925,1.106GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:32:57,30.132,1.044GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:00,24.901,1.044GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:02,32.916,960.3MiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:05,32.921,939.8MiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:07,32.729,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:10,33.052,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:12,32.863,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:15,32.625,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:17,32.810,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:20,32.891,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:23,32.890,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:25,33.243,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:28,32.812,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:30,33.189,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:33,32.808,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:35,33.053,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:38,32.972,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:40,32.867,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:43,32.837,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
2025-08-22 08:33:45,33.026,1.045GiB / 15.34GiB,70.2MB / 2.9GB,89.4MB / 26.2GB
