Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 00:47:46,100,209MiB / 3911MiB,216.74MB/5.00MB,0.61MB/12.86MB
2025-08-22 00:47:50,100,209MiB / 3911MiB,216.74MB/5.00MB,0.61MB/12.79MB
2025-08-22 00:47:54,100,210MiB / 3911MiB,216.74MB/5.00MB,0.61MB/12.71MB
2025-08-22 00:47:58,100,210MiB / 3911MiB,216.74MB/5.00MB,0.60MB/12.64MB
2025-08-22 00:48:03,100,210MiB / 3911MiB,216.74MB/5.00MB,0.60MB/12.57MB
2025-08-22 00:48:07,100,210MiB / 3911MiB,216.74MB/5.00MB,0.60MB/12.51MB
2025-08-22 00:48:11,100,210MiB / 3911MiB,216.74MB/5.00MB,0.59MB/12.43MB
2025-08-22 00:48:15,100,210MiB / 3911MiB,216.74MB/5.00MB,0.59MB/12.36MB
2025-08-22 00:48:19,100,211MiB / 3911MiB,216.74MB/5.00MB,0.59MB/12.29MB
2025-08-22 00:48:23,100,211MiB / 3911MiB,216.74MB/5.00MB,0.58MB/12.23MB
2025-08-22 00:48:27,100,212MiB / 3911MiB,216.74MB/5.00MB,0.58MB/12.16MB
2025-08-22 00:48:32,100,212MiB / 3911MiB,216.74MB/5.00MB,0.58MB/12.09MB
2025-08-22 00:48:36,100,212MiB / 3911MiB,216.74MB/5.00MB,0.57MB/12.03MB
2025-08-22 00:48:40,100,213MiB / 3911MiB,216.74MB/5.00MB,0.57MB/11.96MB
