Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 00:49:46,99.495,170MiB / 3911MiB,233.46MB/696.31MB,0.53MB/173.85MB
2025-08-22 00:49:50,6.99,172MiB / 3911MiB,233.46MB/696.31MB,0.52MB/145.98MB
2025-08-22 00:49:54,19.475,172MiB / 3911MiB,233.46MB/696.31MB,0.52MB/13.97MB
2025-08-22 00:49:58,0,171MiB / 3911MiB,233.46MB/696.31MB,0.52MB/13.90MB
2025-08-22 00:50:02,0,171MiB / 3911MiB,233.46MB/696.31MB,0.52MB/13.84MB
2025-08-22 00:50:06,47,171MiB / 3911MiB,233.46MB/696.31MB,0.51MB/15.89MB
2025-08-22 00:50:10,3.22,172MiB / 3911MiB,233.46MB/696.31MB,0.51MB/15.82MB
2025-08-22 00:50:15,0,172MiB / 3911MiB,233.46MB/696.31MB,0.55MB/15.74MB
2025-08-22 00:50:19,0,173MiB / 3911MiB,233.46MB/696.31MB,0.51MB/1899.60MB
2025-08-22 00:50:23,11.06,171MiB / 3911MiB,233.46MB/696.31MB,0.50MB/218.34MB
2025-08-22 00:50:27,14.43,171MiB / 3911MiB,233.46MB/696.31MB,0.50MB/50.23MB
2025-08-22 00:50:31,10.165,170MiB / 3911MiB,233.46MB/696.31MB,0.50MB/194.88MB
2025-08-22 00:50:35,17.53,171MiB / 3911MiB,233.46MB/696.31MB,0.50MB/18.73MB
2025-08-22 00:50:39,0,171MiB / 3911MiB,233.46MB/696.31MB,0.49MB/18.64MB
2025-08-22 00:50:43,36.685,170MiB / 3911MiB,233.46MB/696.31MB,0.49MB/293.41MB
2025-08-22 00:50:48,1,193MiB / 3911MiB,233.46MB/696.31MB,0.49MB/175.94MB
