Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 00:48:46,2.04,211MiB / 3911MiB,217.05MB/15.68MB,0.57MB/11.87MB
2025-08-22 00:48:50,0.515,211MiB / 3911MiB,218.16MB/61.86MB,0.56MB/11.82MB
2025-08-22 00:48:54,0,211MiB / 3911MiB,219.27MB/108.06MB,0.56MB/11.75MB
2025-08-22 00:48:58,0,211MiB / 3911MiB,220.38MB/154.26MB,0.56MB/11.69MB
2025-08-22 00:49:02,0,211MiB / 3911MiB,221.49MB/200.47MB,0.55MB/11.63MB
2025-08-22 00:49:06,0,211MiB / 3911MiB,222.59MB/246.68MB,0.55MB/11.58MB
2025-08-22 00:49:10,0.515,210MiB / 3911MiB,223.71MB/292.88MB,0.55MB/11.52MB
2025-08-22 00:49:14,0,211MiB / 3911MiB,224.82MB/339.04MB,0.55MB/11.46MB
2025-08-22 00:49:18,0,211MiB / 3911MiB,225.94MB/385.23MB,0.54MB/11.40MB
2025-08-22 00:49:22,0,211MiB / 3911MiB,227.05MB/431.41MB,0.54MB/11.35MB
2025-08-22 00:49:26,0,211MiB / 3911MiB,228.17MB/477.65MB,0.54MB/11.29MB
2025-08-22 00:49:30,0,211MiB / 3911MiB,229.29MB/523.84MB,0.54MB/11.24MB
2025-08-22 00:49:34,0.5,211MiB / 3911MiB,230.41MB/570.04MB,0.53MB/11.18MB
2025-08-22 00:49:38,0,211MiB / 3911MiB,231.52MB/616.25MB,0.53MB/11.13MB
2025-08-22 00:49:42,0,211MiB / 3911MiB,232.64MB/662.43MB,0.53MB/11.08MB
