Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 00:46:46,100,702MiB / 3911MiB,216.74MB/5.00MB,0.67MB/13.94MB
2025-08-22 00:46:50,100,1018MiB / 3911MiB,216.74MB/5.00MB,0.67MB/13.86MB
2025-08-22 00:46:54,100,530MiB / 3911MiB,216.74MB/5.00MB,0.66MB/13.77MB
2025-08-22 00:46:58,100,812MiB / 3911MiB,216.74MB/5.00MB,0.66MB/14.03MB
2025-08-22 00:47:02,100,1191MiB / 3911MiB,216.74MB/5.00MB,0.65MB/130.58MB
2025-08-22 00:47:07,100,519MiB / 3911MiB,216.74MB/5.00MB,0.65MB/13.61MB
2025-08-22 00:47:11,100,1191MiB / 3911MiB,216.74MB/5.00MB,0.65MB/13.52MB
2025-08-22 00:47:15,100,1191MiB / 3911MiB,216.74MB/5.00MB,0.64MB/13.44MB
2025-08-22 00:47:19,100,1192MiB / 3911MiB,216.74MB/5.00MB,0.64MB/13.36MB
2025-08-22 00:47:23,100,1192MiB / 3911MiB,216.74MB/5.00MB,0.63MB/13.28MB
2025-08-22 00:47:27,100,1193MiB / 3911MiB,216.74MB/5.00MB,0.63MB/13.21MB
2025-08-22 00:47:31,100,1193MiB / 3911MiB,216.74MB/5.00MB,0.63MB/13.13MB
2025-08-22 00:47:35,100,1193MiB / 3911MiB,216.74MB/5.00MB,0.62MB/13.05MB
2025-08-22 00:47:40,100,1194MiB / 3911MiB,216.74MB/5.00MB,0.62MB/12.98MB
